income_hr,education,sex,age,urban_rural,province,sector,hours_worked
108.333336,Primary,Male,29,Rural,Northern Province,Agriculture,36.0
81.25,Primary,Female,24,Rural,Northern Province,Agriculture,48.0
343.75,Upper_secondary,Female,24,Rural,Northern Province,Services,40.0
270.83334,Primary,Female,25,Urban,Northern Province,Agriculture,36.0
270.83334,Primary,Male,23,Urban,Northern Province,Agriculture,36.0
195.0,Upper_secondary,Female,25,Urban,Northern Province,Industry,50.0
195.0,Primary,Male,25,Urban,Northern Province,Industry,50.0
180.55556,Primary,Female,30,Rural,Northern Province,Agriculture,36.0
151.66667,Primary,Male,19,Rural,Northern Province,Agriculture,30.0
154.7619,Primary,Male,20,Rural,Northern Province,Industry,42.0
130.0,Lower_secondary,Female,26,Rural,Northern Province,Agriculture,25.0
130.0,Primary,Male,28,Rural,Northern Province,Agriculture,25.0
162.5,Primary,Female,24,Rural,Eastern Province,Industry,60.0
1277.7778,University,Male,30,Rural,Eastern Province,Services,45.0
72.22222,Primary,Male,21,Rural,Eastern Province,Agriculture,36.0
130.0,Primary,Female,25,Rural,Eastern Province,Agriculture,30.0
260.0,Primary,Female,24,Rural,Eastern Province,Agriculture,15.0
406.25,Upper_secondary,Male,19,Rural,Eastern Province,Agriculture,8.0
162.5,Lower_secondary,Female,26,Rural,Eastern Province,Agriculture,20.0
216.66667,Upper_secondary,Male,24,Rural,Eastern Province,Agriculture,15.0
37.313435,Lower_secondary,Female,24,Rural,Eastern Province,Services,67.0
270.83334,Primary,Female,17,Rural,Eastern Province,Agriculture,12.0
92.85714,Lower_secondary,Female,18,Rural,Eastern Province,Agriculture,35.0
406.25,Primary,Male,23,Rural,Eastern Province,Industry,24.0
285.7143,Upper_secondary,Female,25,Urban,Kigali city,Services,70.0
500.0,University,Female,23,Urban,Kigali city,Services,30.0
53.57143,Lower_secondary,Female,23,Urban,Kigali city,Services,70.0
53.57143,Primary,Female,19,Urban,Kigali city,Services,70.0
625.0,Upper_secondary,Female,27,Urban,Kigali city,Services,60.0
1625.0,Primary,Female,21,Urban,Kigali city,Industry,8.0
47.61786,Upper_secondary,Male,27,Urban,Kigali city,Services,70.0
333.335,Primary,Female,18,Urban,Kigali city,Services,50.0
76.53061,Primary,Female,18,Urban,Kigali city,Services,49.0
750.0,Primary,Female,28,Urban,Kigali city,Services,20.0
138.88889,Primary,Female,26,Urban,Kigali city,Services,54.0
200.61728,Primary,Female,27,Urban,Kigali city,Industry,54.0
277.77917,Upper_secondary,Male,30,Urban,Kigali city,Services,60.0
187.5,Lower_secondary,Male,29,Urban,Kigali city,Services,60.0
156.25,Upper_secondary,Male,29,Urban,Kigali city,Services,60.0
120.37037,Primary,Male,20,Urban,Kigali city,Industry,45.0
722.2222,Primary,Male,25,Rural,Kigali city,Industry,18.0
75.0,Primary,Female,19,Rural,Kigali city,Services,50.0
214.28572,Primary,Male,24,Rural,Kigali city,Services,70.0
250.0,Primary,Male,23,Rural,Kigali city,Services,70.0
76.53061,Primary,Female,17,Urban,Kigali city,Services,49.0
76.53061,Primary,Female,19,Urban,Kigali city,Services,49.0
920.8333,Upper_secondary,Male,24,Urban,Kigali city,Industry,60.0
722.2222,Upper_secondary,Female,28,Urban,Kigali city,Services,45.0
39.68254,Primary,Male,19,Urban,Kigali city,Services,63.0
2380.9524,Upper_secondary,Male,29,Urban,Kigali city,Industry,42.0
34.72222,Primary,Female,19,Urban,Kigali city,Services,72.0
260.41666,Upper_secondary,Female,21,Urban,Kigali city,Services,36.0
79.36508,Primary,Female,20,Urban,Kigali city,Services,63.0
59.52381,Primary,Female,18,Urban,Kigali city,Services,63.0
34.246574,Primary,Female,24,Urban,Kigali city,Services,73.0
1111.1111,University,Male,28,Urban,Kigali city,Industry,45.0
520.0,Lower_secondary,Male,19,Urban,Kigali city,Industry,25.0
